ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
RSR,2022-05-24,0.00670262,0.00761162,0.00555388,0.00608208,,,,0.00608208,0.00608208,0.0,0.0,0.0,,,,,,,,,0.07290909090909091,0.17625394902087882,55.0,0.3065454545454545,0.2835438314918954,"{'positive': 25, 'neutral': 24, 'negative': 6}",0.0,0.0,1.0,0.0
RSR,2022-05-25,0.00608208,0.00685108,0.00578305,0.00581302,,,,0.006040686153846154,0.00606214962962963,-2.1463475783476196e-05,-4.29269515669524e-06,-1.7170780626780956e-05,,,,,,-0.044238155367900434,,,0.11206349206349207,0.19788526107039686,63.0,0.34253968253968253,0.25236282287143547,"{'positive': 36, 'neutral': 20, 'negative': 7}",0.0,0.0,1.0,0.0
RSR,2022-05-26,0.00580303,0.00597342,0.00485417,0.00514485,,,,0.005902865207100591,0.005994201508916324,-9.133630181573302e-05,-2.1701416488502795e-05,-6.963488532723022e-05,,,,,,-0.11494369535972693,,,0.07057692307692308,0.2639177936592278,52.0,0.3992307692307693,0.2893593068253646,"{'positive': 27, 'negative': 13, 'neutral': 12}",0.0,0.0,1.0,0.0
RSR,2022-05-27,0.00514433,0.00570429,0.00465487,0.00545399,,,,0.0058338074829312695,0.005954185841589189,-0.00012037835865791931,-4.14368049223861e-05,-7.894155373553322e-05,,,,,,0.060087271737756964,,,0.05106382978723404,0.22917843857298842,47.0,0.31978723404255316,0.31612111989265,"{'neutral': 22, 'positive': 19, 'negative': 6}",0.0,0.0,1.0,0.0
RSR,2022-05-28,0.00545378,0.00583334,0.00516421,0.0052938,,,,0.005750729408634151,0.005905268371841841,-0.0001545389632076899,-6.405723657944686e-05,-9.048172662824304e-05,,,,,,-0.02937115762955178,,,0.06181818181818182,0.11533125639348035,22.0,0.41,0.2972092416687835,"{'positive': 11, 'neutral': 9, 'negative': 2}",0.0,0.0,1.0,0.0
RSR,2022-05-29,0.00527372,0.0068827,0.00491503,0.0065428,,,,0.0058725864226904356,0.005952492936890594,-7.99065142001584e-05,-6.722709210358917e-05,-1.2679422096569223e-05,,,,,,0.23593637840492643,,,0.10466666666666666,0.18477270464262946,15.0,0.32866666666666666,0.274170610769141,"{'positive': 8, 'neutral': 5, 'negative': 2}",0.0,0.0,1.0,0.0
RSR,2022-05-30,0.00655278,0.00844239,0.0065127,0.00752398,0.005979217142857143,,,0.006126646973045754,0.006068899386009809,5.7747587035944514e-05,-4.2232156275682436e-05,9.997974331162694e-05,,,,,,0.14996331845692978,,,0.046511627906976744,0.16198006521865332,43.0,0.337906976744186,0.23669910716164203,"{'neutral': 18, 'positive': 18, 'negative': 7}",0.0,0.0,1.0,0.0
RSR,2022-05-31,0.00755471,0.00784372,0.00669397,0.00683384,0.006086611428571429,,,0.006235445900269484,0.006125561653712786,0.000109884246556698,-1.180887570920635e-05,0.00012169312226590435,,,,,,-0.09172539001964397,0.13056797071945747,,0.07139999999999999,0.1690068227097622,50.0,0.34,0.29292333746673893,"{'positive': 23, 'neutral': 21, 'negative': 6}",0.0,0.0,1.0,0.0
RSR,2022-06-01,0.00682467,0.00729416,0.00611327,0.00614446,0.00613396,,,0.006221448069458794,0.006126961531215542,9.448653824325158e-05,9.450207081285238e-06,8.503633116196634e-05,,,,,,-0.10087739835875587,0.13707085819063047,,0.09145454545454546,0.20249753708441132,55.0,0.3705454545454545,0.24517883255423972,"{'positive': 32, 'neutral': 12, 'negative': 11}",0.0,0.0,1.0,0.0
RSR,2022-06-02,0.0061547,0.00714357,0.00590468,0.00697372,0.0063952271428571435,,,0.006337182212618979,0.006189684380755131,0.00014749783186384768,3.705973203779773e-05,0.00011043809982604995,,,,,,0.13496059865309573,0.12975837205112903,,0.03697674418604651,0.18540219965460586,43.0,0.3902325581395349,0.25744614205224714,"{'positive': 19, 'negative': 12, 'neutral': 12}",0.0,0.0,1.0,0.0
RSR,2022-06-03,0.00696373,0.00723443,0.00628478,0.00710381,0.006630915714285715,,,0.006455124949139137,0.0062573973895880845,0.00019772755955105217,6.919329754044862e-05,0.00012853426201060356,,,,,,0.018654319358964777,0.1302338906166089,,0.10065217391304347,0.2130769519202242,46.0,0.2897826086956522,0.23806151521015442,"{'positive': 22, 'neutral': 20, 'negative': 4}",0.0,0.0,1.0,0.0
RSR,2022-06-04,0.00711381,0.00774334,0.00693285,0.00741436,0.006933852857142858,,,0.0066026995723485,0.006343098323692671,0.00025960124865582936,0.00010727488776352476,0.00015232636089230458,,,,,,0.04371597776404479,0.1261081669817239,,0.050666666666666665,0.12325737686800313,15.0,0.2673333333333333,0.3328763534207059,"{'neutral': 8, 'positive': 6, 'negative': 1}",0.0,0.0,1.0,0.0
RSR,2022-06-05,0.00740444,0.00746328,0.00681427,0.00693348,0.006989664285714286,,,0.0066535888689102695,0.006386830299715436,0.0002667585691948334,0.0001391716240497865,0.00012758694514504687,,,,,,-0.06485792435220306,0.10376729736268622,,0.13266666666666665,0.19575738142137167,15.0,0.34933333333333333,0.2907003038640769,"{'positive': 8, 'neutral': 5, 'negative': 2}",0.0,0.0,1.0,0.0
RSR,2022-06-06,0.00694347,0.00772258,0.00678369,0.00740378,0.006972492857142858,,,0.00676900288907792,0.006462159907143922,0.0003068429819339984,0.0001727058956266289,0.0001341370863073695,59.13111723367978,,,,,0.06783029589758693,0.08931429387694553,,0.01612244897959184,0.14432048143123763,49.0,0.31367346938775514,0.31228788719672734,"{'neutral': 24, 'positive': 14, 'negative': 11}",0.0,0.0,1.0,0.0
RSR,2022-06-07,0.00739378,0.0138675,0.00673441,0.00957214,0.007363678571428571,,,0.007200254752296702,0.0066925288029110385,0.0005077259493856635,0.00023970990637843582,0.0002680160430072277,68.5528987741476,,,,,0.29287201942791374,0.13117788559250573,,0.03929824561403509,0.1588222237184304,57.0,0.3119298245614035,0.2529076525171874,"{'positive': 26, 'neutral': 20, 'negative': 11}",0.0,0.0,1.0,0.0
RSR,2022-06-08,0.0096223,0.0110326,0.00850421,0.00877429,0.007739368571428572,,,0.007442414021174132,0.006846733336028739,0.000595680685145393,0.0003109040621318273,0.00028477662301356574,64.90398601236701,,,,,-0.08335126732371223,0.12780761008988123,,0.08839999999999999,0.1757126596905021,50.0,0.31920000000000004,0.2702896405634489,"{'positive': 24, 'neutral': 21, 'negative': 5}",0.0,0.0,1.0,0.0
RSR,2022-06-09,0.00879428,0.0090533,0.00791303,0.0079733,0.007882165714285714,,,0.007524088787147343,0.006930182718545129,0.0005939060686022141,0.0003675044634259047,0.00022640160517630945,64.04769496518931,,,,,-0.09128829797054816,0.13373313961897296,,0.0625,0.15782902141241326,56.0,0.34589285714285717,0.2701297788149197,"{'positive': 25, 'neutral': 20, 'negative': 11}",0.0,0.0,1.0,0.0
RSR,2022-06-10,0.00798321,0.00947061,0.00741325,0.0090484,0.008159964285714286,,,0.00775859820450929,0.0070870877023566006,0.0006715105021526894,0.00042830567117126166,0.00024320483098142772,66.58968160121552,,,,,0.13483752022374684,0.13971298779557947,,0.09327272727272727,0.19026350680096807,55.0,0.3281818181818182,0.27506289455249316,"{'positive': 25, 'neutral': 21, 'negative': 9}",0.0,0.0,1.0,0.0
RSR,2022-06-11,0.00906838,0.00957945,0.00754132,0.00796099,0.008238054285714285,,,0.007789735403815553,0.007151821205885741,0.0006379141979298121,0.0004702273765229718,0.00016768682140684034,61.33962105320441,,,,,-0.12017704787586758,0.15267019562394823,,0.1431818181818182,0.16988473301277696,22.0,0.3772727272727273,0.2530985469315746,"{'positive': 15, 'neutral': 5, 'negative': 2}",0.0,0.0,1.0,0.0
