ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
LPT,2019-01-03,3.229,4.219,3.107,3.452,,,,3.452,3.452,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-04,3.452,3.487,3.082,3.141,,,,3.404153846153846,3.428962962962963,-0.024809116809116905,-0.004961823361823381,-0.019847293447293524,,,,,,-0.09009269988412516,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-05,3.141,3.508,2.728,3.237,,,,3.378437869822485,3.4147434842249655,-0.03630561440248048,-0.011230581569954802,-0.025075032832525677,,,,,,0.030563514804202496,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-06,3.237,3.444,3.077,3.2,,,,3.350985889849795,3.398836559467561,-0.04785066961776607,-0.018554599179517055,-0.029296070438249017,,,,,,-0.01143033673154148,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-07,3.2,3.24,2.884,2.957,,,,3.2903726760267493,3.3661079254329267,-0.07573524940617737,-0.029990729224849123,-0.045744520181328255,,,,,,-0.0759375000000001,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-08,2.957,3.152,2.869,2.949,,,,3.237853802791865,3.3352110420675247,-0.09735723927565987,-0.043464031235011275,-0.053893208040648594,,,,,,-0.002705444707473803,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-09,2.949,3.074,2.432,3.074,3.144285714285714,,,3.21264552543927,3.315862075988449,-0.10321655054917889,-0.055414535097844796,-0.04780201545133409,,,,,,0.04238724991522558,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-10,3.074,3.074,2.527,2.527,3.0121428571428575,,,3.107161598448613,3.2574278481374526,-0.15026624968883961,-0.07438487801604377,-0.07588137167279585,,,,,,-0.17794404684450216,0.07831508801022295,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-11,2.527,2.679,2.33,2.407,2.907285714285714,,,2.999444429456519,3.1944331927198637,-0.1949887632633449,-0.098505655065504,-0.09648310819784091,,,,,,-0.04748713889988132,0.07544289387041658,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
LPT,2019-01-12,2.407,2.58,2.327,2.435,2.7927142857142857,,,2.9126068249247465,3.138178882148022,-0.22557205722327556,-0.12391893549705832,-0.10165312172621724,,,,,,0.011632737847943497,0.07301581377356703,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
