ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
IOTA,2017-06-13,0.553,0.589,0.538,0.587,,,,0.587,0.587,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-14,0.587,0.6101,0.4795,0.5202,,,,0.5767230769230769,0.5820518518518518,-0.005328774928774926,-0.0010657549857549854,-0.0042630199430199415,,,,,,-0.11379897785349224,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-15,0.5202,0.5447,0.2912,0.3467,,,,0.5413349112426036,0.5646183813443072,-0.02328347010170362,-0.005509298008944712,-0.017774172092758906,,,,,,-0.3335255670895809,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-16,0.3467,0.599,0.3053,0.4082,,,,0.52085261720528,0.5530318345780623,-0.03217921737278229,-0.010843281881712227,-0.02133593549107006,,,,,,0.17738678973175648,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-17,0.4082,0.4512,0.4,0.428,,,,0.5065675991736984,0.5437702172019095,-0.03720261802821112,-0.016115149111012007,-0.021087468917199113,,,,,,0.04850563449289558,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-18,0.428,0.4502,0.385,0.4056,,,,0.4910341223777448,0.5335353862980644,-0.04250126392031961,-0.02139237207287353,-0.02110889184744608,,,,,,-0.0523364485981308,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-19,0.4056,0.435,0.395,0.4254,0.4458714285714286,,,0.48093656508886096,0.5255253576833929,-0.04458879259453197,-0.02603165617720522,-0.018557136417326748,,,,,,0.04881656804733714,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-20,0.4254,0.4472,0.411,0.4405,0.4249428571428572,,,0.47471555507519003,0.5192271830401787,-0.04451162796498864,-0.029727650534761906,-0.014783977430226736,,,,,,0.03549600376116602,0.16292270912530266,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-21,0.4405,0.4624,0.415,0.425,0.4113428571428571,,,0.4670670081405454,0.5122473917038691,-0.04518038356332371,-0.03281819714047427,-0.01236218642284944,,,,,,-0.03518728717366637,0.15859972554539342,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
IOTA,2017-06-22,0.425,0.4499,0.4114,0.4373,0.4242857142857143,,,0.46248746842661537,0.5066957330591381,-0.0442082646325227,-0.035096210638883955,-0.009112053993638743,,,,,,0.028941176470588248,0.07442210498711391,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
