ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
CKB,2022-05-14,0.00450233,0.0047928,0.00416955,0.00474335,,,,0.00474335,0.00474335,0.0,0.0,0.0,,,,,,,,,0.07631578947368421,0.20410265734880106,19.0,0.42000000000000004,0.2789663460387691,"{'positive': 9, 'negative': 5, 'neutral': 5}",0.0,0.0,1.0,0.0
CKB,2022-05-15,0.00476284,0.00548231,0.00453319,0.00512333,,,,0.004801808461538461,0.004771496666666667,3.0311794871794133e-05,6.062358974358827e-06,2.4249435897435305e-05,,,,,,0.08010794059051074,,,0.0040000000000000036,0.2901433402557034,20.0,0.46449999999999997,0.3321774256406705,"{'neutral': 7, 'positive': 7, 'negative': 6}",0.0,0.0,1.0,0.0
CKB,2022-05-16,0.00512384,0.0051638,0.00469483,0.00487366,,,,0.004812862544378698,0.004779064320987655,3.379822339104246e-05,1.1609531857695555e-05,2.21886915333469e-05,,,,,,-0.04873197705398624,,,0.058888888888888886,0.19826775080708664,45.0,0.3071111111111111,0.25323921696708235,"{'positive': 21, 'neutral': 15, 'negative': 9}",0.0,0.0,1.0,0.0
CKB,2022-05-17,0.00489363,0.00538353,0.00479328,0.00510336,,,,0.0048575544606281286,0.004803086223136718,5.446823749141044e-05,2.0181272984438533e-05,3.4286964506971906e-05,,,,,,0.047130903674035496,,,0.059782608695652176,0.16191203552045416,46.0,0.26782608695652177,0.2355599762596756,"{'neutral': 20, 'positive': 18, 'negative': 8}",0.0,0.0,1.0,0.0
CKB,2022-05-18,0.00512384,0.0051638,0.00478377,0.00480375,,,,0.004849276851300724,0.004803135391793258,4.614145950746634e-05,2.5373310289044095e-05,2.0768149218422247e-05,,,,,,-0.05870838036117387,,,0.06770491803278689,0.16396537685969917,61.0,0.31459016393442624,0.26380910882992525,"{'positive': 30, 'neutral': 23, 'negative': 8}",0.0,0.0,1.0,0.0
CKB,2022-05-19,0.00482324,0.00501498,0.00460401,0.00494505,,,,0.0048640111818698435,0.004813647584993757,5.03635968760862e-05,3.037136760645252e-05,1.999222926963368e-05,,,,,,0.029414519906323378,,,0.017272727272727273,0.16858292327576366,55.0,0.32799999999999996,0.26221563080227894,"{'positive': 20, 'neutral': 18, 'negative': 17}",0.0,0.0,1.0,0.0
CKB,2022-05-20,0.00492556,0.00503395,0.0047638,0.0048242,0.004916671428571428,,,0.0048578863846590985,0.00481442924536459,4.345713929450844e-05,3.2988521944063704e-05,1.0468617350444733e-05,,,,,,-0.02443857999413568,,,0.05,0.17725802707709828,50.0,0.3014,0.2536268349930098,"{'positive': 24, 'neutral': 19, 'negative': 7}",0.0,0.0,1.0,0.0
CKB,2022-05-21,0.00483419,0.00503345,0.00477379,0.00495355,0.0049467,,,0.004872603863942314,0.0048247344864486945,4.786937749361956e-05,3.5964693053974876e-05,1.1904684439644683e-05,,,,,,0.02681273579039023,0.052059722492305165,,0.05777777777777778,0.14862331206405302,18.0,0.28833333333333333,0.27311385257908144,"{'positive': 8, 'neutral': 7, 'negative': 3}",0.0,0.0,1.0,0.0
CKB,2022-05-22,0.00493358,0.0050734,0.00490313,0.00502396,0.0049325042857142854,,,0.004895889423335804,0.004839491931896939,5.6397491438864994e-05,4.0051252730952905e-05,1.634623870791209e-05,,,,,,0.014214048510664101,0.04162727748302227,,-0.003529411764705886,0.3217130160653783,17.0,0.4676470588235294,0.3281678193349537,"{'positive': 8, 'neutral': 5, 'negative': 4}",0.0,0.0,1.0,0.0
CKB,2022-05-23,0.00503395,0.00515484,0.00497452,0.00503395,0.004955402857142857,,,0.004917129512053373,0.004853896233237907,6.323327881546572e-05,4.4687657947855474e-05,1.8545620867610246e-05,,,,,,0.0019884712457900466,0.036207613082110186,,0.0916,0.14938458789995981,50.0,0.2736,0.2351964875483944,"{'positive': 25, 'neutral': 19, 'negative': 6}",0.0,0.0,1.0,0.0
