ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
SC,2015-08-25,0.000106,0.000106,3.3e-05,5.1e-05,,,,5.1e-05,5.1e-05,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-26,5.1e-05,7.4e-05,3.1e-05,4.3e-05,,,,4.976923076923077e-05,5.0407407407407405e-05,-6.381766381766363e-07,-1.2763532763532727e-07,-5.105413105413091e-07,,,,,,-0.1568627450980392,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-27,4.3e-05,5.3e-05,3.8e-05,4e-05,,,,4.826627218934911e-05,4.963648834019204e-05,-1.370216150842927e-06,-3.761514922768472e-07,-9.940646585660796e-07,,,,,,-0.06976744186046513,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-28,4e-05,4.9e-05,3.5e-05,3.9e-05,,,,4.684069185252617e-05,4.8848600314992625e-05,-2.007908462466457e-06,-7.025028863147692e-07,-1.3054055761516879e-06,,,,,,-0.025000000000000133,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-29,3.9e-05,4.1e-05,3.4e-05,3.4e-05,,,,4.486520079829137e-05,4.774870399536354e-05,-2.8835031970721715e-06,-1.1387029484662498e-06,-1.7448002486059217e-06,,,,,,-0.1282051282051282,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-30,3.4e-05,3.9e-05,2.7e-05,3e-05,,,,4.2578246829323464e-05,4.643398518089217e-05,-3.855738351568704e-06,-1.6821100290867406e-06,-2.1736283224819633e-06,,,,,,-0.11764705882352944,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-08-31,3e-05,3.4e-05,2.8e-05,3e-05,3.814285714285714e-05,,,4.064313193250447e-05,4.5216652945270526e-05,-4.573521012766057e-06,-2.260392225822604e-06,-2.313128786943453e-06,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-01,3e-05,3.2e-05,3e-05,3e-05,3.514285714285714e-05,,,3.9005727019811476e-05,4.408949346784308e-05,-5.083766448031607e-06,-2.8250670702644048e-06,-2.258699377767202e-06,,,,,,0.0,0.06457588784332603,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-02,3e-05,3.2e-05,2.7e-05,2.7e-05,3.285714285714286e-05,,,3.715869209368663e-05,4.282360506281767e-05,-5.664912969131039e-06,-3.393036250037732e-06,-2.271876719093307e-06,,,,,,-0.10000000000000009,0.05482515752031045,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-03,2.7e-05,2.7e-05,2.3e-05,2.5e-05,3.071428571428571e-05,,,3.52881240792733e-05,4.150333802112747e-05,-6.215213941854169e-06,-3.95747178840102e-06,-2.2577421534531494e-06,,,,,,-0.07407407407407396,0.05493851514931989,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-04,2.5e-05,2.5e-05,2.3e-05,2.5e-05,2.8714285714285716e-05,,,3.37053357593851e-05,4.0280868538080995e-05,-6.5755327786958936e-06,-4.481083986459995e-06,-2.0944487922358984e-06,,,,,,0.0,0.05855652780113272,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-05,2.5e-05,2.6e-05,2.3e-05,2.3e-05,2.714285714285714e-05,,,3.205836102717201e-05,3.9000804201926846e-05,-6.9424431747548376e-06,-4.973355824118964e-06,-1.969087350635874e-06,,,,,,-0.08000000000000007,0.051620868716429374,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-06,2.3e-05,2.9e-05,2.3e-05,2.9e-05,2.7e-05,,,3.158784394606862e-05,3.8260003890673004e-05,-6.6721599446043815e-06,-5.313116648216047e-06,-1.3590432963883345e-06,,,,,,0.26086956521739135,0.122429096180549,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-07,2.9e-05,5e-05,2.6e-05,4.1e-05,2.8571428571428567e-05,,,3.303586795436576e-05,3.846296656543797e-05,-5.42709861107221e-06,-5.33591304078728e-06,-9.118557028493006e-08,39.130434782608695,,,,,0.4137931034482758,0.1982817650571465,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-08,4.1e-05,9.2e-05,3.9e-05,7.3e-05,3.471428571428571e-05,,,3.9184195961386416e-05,4.102126533836849e-05,-1.8370693769820742e-06,-4.636144308026239e-06,2.799074931044165e-06,64.1025641025641,,,,,0.7804878048780488,0.3327267001737137,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-09,7.3e-05,7.6e-05,4.5e-05,4.7e-05,3.757142857142857e-05,,,4.038662735194235e-05,4.1464134572563415e-05,-1.0775072206210647e-06,-3.924416890545205e-06,2.84690966992414e-06,52.08333333333333,,,,,-0.3561643835616438,0.3785119256703707,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-10,4.7e-05,5.5e-05,3.8e-05,4.5e-05,4.0428571428571426e-05,,,4.109637699010507e-05,4.172605053015131e-05,-6.296735400462432e-07,-3.2654682204454125e-06,2.6357946803991694e-06,52.63157894736843,,,,,-0.04255319148936154,0.37578799186564865,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-11,4.5e-05,4.8e-05,3.8e-05,4.1e-05,4.271428571428572e-05,,,4.1081549760858136e-05,4.167226900939936e-05,-5.907192485412249e-07,-2.7305184260645753e-06,2.1397991775233504e-06,51.020408163265316,,,,,-0.0888888888888889,0.3827249821106803,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-12,4.1e-05,4.5e-05,3.1e-05,3.3e-05,4.414285714285714e-05,,,3.983823441303381e-05,4.1029878712406816e-05,-1.191644299373005e-06,-2.422743600726261e-06,1.2310993013532562e-06,49.504950495049506,,,,,-0.19512195121951215,0.39535697747391485,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-13,3.3e-05,3.9e-05,3e-05,3.7e-05,4.528571428571429e-05,3.7149999999999995e-05,,3.940158296487476e-05,4.073136917815446e-05,-1.3297862132796948e-06,-2.204152123236948e-06,8.743659099572531e-07,53.46534653465348,3.7149999999999995e-05,1.1599795823974435e-05,6.034959164794887e-05,1.3950408352051124e-05,0.1212121212121211,0.38998231894412677,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
SC,2015-09-14,3.7e-05,3.9e-05,3.4e-05,3.4e-05,4.428571428571428e-05,3.63e-05,,3.8570570201047875e-05,4.0232749239031904e-05,-1.6621790379840287e-06,-2.0957575061863643e-06,4.3357846820233563e-07,51.92307692307693,3.63e-05,1.1145449862234318e-05,5.859089972446864e-05,1.4009100275531365e-05,-0.08108108108108103,0.3656840925561295,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
