ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
OKB,2018-05-11,3.248,3.457,2.906,3.251,,,,3.251,3.251,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-12,3.257,4.016,3.257,3.567,,,,3.2996153846153846,3.2744074074074074,0.025207977207977184,0.005041595441595437,0.020166381766381747,,,,,,0.09720086127345451,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-13,3.56,3.987,3.56,3.795,,,,3.375828402366864,3.3129698216735255,0.0628585806933386,0.01660499249194407,0.04625358820139454,,,,,,0.063919259882254,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-14,3.798,4.037,3.71,3.895,,,,3.455700955848885,3.356083168216227,0.09961778763265805,0.03320755152008687,0.06641023611257119,,,,,,0.026350461133069825,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-15,3.894,4.937,3.741,4.882,,,,3.67513157802598,3.469114044644655,0.206017533381325,0.0677695478923345,0.1382479854889905,,,,,,0.2534017971758664,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-16,4.863,5.47,4.539,5.383,,,,3.937880566021983,3.6108833746709768,0.32699719135100613,0.11961507658406882,0.2073821147669373,,,,,,0.10262187628021313,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-17,5.356,5.773,4.745,5.62,4.341857142857143,,,4.19666817124937,3.7597068283990525,0.4369613428503176,0.1830843298373186,0.25387701301299903,,,,,,0.04402749396247452,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-18,5.623,6.456,5.429,6.302,4.777714285714285,,,4.520565375672544,3.9480248411102337,0.5725405345623105,0.260975570782317,0.3115649637799935,,,,,,0.12135231316725958,0.07511157037601703,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-19,6.289,6.578,4.285,4.605,4.926,,,4.533555317876768,3.996689667694661,0.5368656501821074,0.3161535866622751,0.2207120635198323,,,,,,-0.2692795937797523,0.15913957006047305,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-20,4.609,5.114,3.753,5.084,5.110142857142857,,,4.618239115126496,4.077231173791352,0.5410079413351436,0.36112445759684886,0.17988348373829477,,,,,,0.10401737242128095,0.16048571930851163,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-21,5.085,5.453,3.854,3.863,5.105571428571428,,,4.502048482030112,4.0613621979549555,0.44068628407515664,0.37703682289251045,0.0636494611826462,,,,,,-0.24016522423288744,0.1960006297752481,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
OKB,2018-05-22,3.871,3.923,3.397,3.646,4.929,,,4.370348715563941,4.03059462773607,0.3397540878278713,0.36958027587958264,-0.029826188051711333,,,,,,-0.056173958063681084,0.1663368109846253,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0
