ticker,date,open,high,low,close,sma_7,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,daily_return,volatility_7,volatility_30,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_subjectivity_mean,sentiment_subjectivity_std,sentiment_class_safe_value_counts,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
ZRX,2022-04-21,0.975398,1.0131,0.94819,0.953495,,,,0.953495,0.953495,0.0,0.0,0.0,,,,,,,,,0.07727272727272727,0.18210146281933803,55.0,0.35545454545454547,0.25295892055473257,"{'positive': 28, 'neutral': 17, 'negative': 10}",0.0,0.0,1.0,0.0
ZRX,2022-04-22,0.952795,0.976695,0.85017,0.852985,,,,0.9380319230769231,0.9460498148148148,-0.008017891737891691,-0.0016035783475783383,-0.006414313390313353,,,,,,-0.10541219408596791,,,0.12075471698113208,0.23103320654269408,53.0,0.36924528301886794,0.27561713311015457,"{'positive': 27, 'neutral': 16, 'negative': 10}",0.0,0.0,1.0,0.0
ZRX,2022-04-23,0.853671,0.919484,0.843969,0.861286,,,,0.9262248579881657,0.9397710137174211,-0.013546155729255438,-0.003992093823913758,-0.00955406190534168,,,,,,0.009731706888163272,,,0.17941176470588238,0.19479061156262428,17.0,0.4011764705882353,0.27237112440889305,"{'positive': 11, 'neutral': 4, 'negative': 2}",0.0,0.0,1.0,0.0
ZRX,2022-04-24,0.860586,0.862472,0.80256,0.819464,,,,0.9098001106053709,0.9308593830716863,-0.021059272466315337,-0.007405529552394074,-0.013653742913921263,,,,,,-0.048557621974582243,,,0.08833333333333333,0.23042799053832286,18.0,0.3333333333333333,0.23192290808395283,"{'positive': 10, 'negative': 5, 'neutral': 3}",0.0,0.0,1.0,0.0
ZRX,2022-04-25,0.820164,0.821564,0.733547,0.772755,,,,0.8887162474353139,0.9191479472885984,-0.030431699853284533,-0.012010763612572167,-0.018420936240712366,,,,,,-0.05699945330118228,,,0.09658536585365854,0.2905306331189326,41.0,0.38439024390243903,0.3235896226742122,"{'positive': 21, 'neutral': 11, 'negative': 9}",0.0,0.0,1.0,0.0
ZRX,2022-04-26,0.772554,0.89918,0.746849,0.8105,,,,0.8766829785991117,0.9110999511931467,-0.03441697259403498,-0.01649200540886473,-0.017924967185170247,,,,,,0.048844717924827474,,,0.0849090909090909,0.1775332282645903,55.0,0.3578181818181818,0.3226779779301299,"{'neutral': 25, 'positive': 25, 'negative': 5}",0.0,0.0,1.0,0.0
ZRX,2022-04-27,0.810581,0.9108,0.805381,0.860686,0.8473101428571429,,,0.8742219049684791,0.9073655844380988,-0.03314367946961971,-0.019822340221015727,-0.013321339248603986,,,,,,0.061919802590993056,,,0.1089795918367347,0.17594086243630253,49.0,0.3359183673469388,0.2903225100882561,"{'positive': 25, 'neutral': 20, 'negative': 4}",0.0,0.0,1.0,0.0
ZRX,2022-04-28,0.861086,0.934493,0.814781,0.8195,0.8281679999999999,,,0.8658031503579439,0.9008570226278693,-0.0350538722699254,-0.022868646630797664,-0.012185225639127738,,,,,,-0.04785252693781461,0.061358952862981805,,0.1253448275862069,0.18327637568725946,58.0,0.3446551724137931,0.2838718237888322,"{'positive': 33, 'neutral': 18, 'negative': 7}",0.0,0.0,1.0,0.0
ZRX,2022-04-29,0.819582,0.8239,0.7424,0.743474,0.8125235714285715,,,0.8469832810721063,0.8891990209517308,-0.04221573987962446,-0.026738065280563026,-0.015477674599061433,,,,,,-0.09277120195241007,0.05853924059830957,,0.0696078431372549,0.201235789901436,51.0,0.3537254901960784,0.2869491995759091,"{'positive': 22, 'neutral': 16, 'negative': 13}",0.0,0.0,1.0,0.0
ZRX,2022-04-30,0.743474,0.8339,0.737074,0.824682,0.8072944285714285,,,0.8435523147533207,0.8844199823627137,-0.04086766760939298,-0.029563985746329017,-0.01130368186306396,,,,,,0.10922776048658056,0.07588998143565585,,0.08578947368421053,0.15628733472086614,19.0,0.3215789473684211,0.283181589912722,"{'positive': 10, 'neutral': 5, 'negative': 4}",0.0,0.0,1.0,0.0
